410,25
439,279
56,190
333,473
368,33
54,199
88,322
42,424
497,32
42,151
213,408
154,269
35,209
169,162
41,75
197,474
19,138
343,360
393,453
84,135
382,300
106,217
177,44
82,462
325,174
70,113
106,472
497,250
76,67
98,264
126,108
238,426
56,418
192,181
137,105
247,280
400,479
485,297
103,293
51,300
111,13
450,154
103,118
48,312
299,215
468,330
406,253
40,227
283,292
448,243
213,314
336,265
246,301
175,146
94,7
380,222
274,8
223,190
127,331
148,332
441,408
235,436
116,6
240,19
310,409
339,458
193,200
192,364
80,59
248,145
341,448
404,269
341,279
216,121
428,194
309,264
77,211
320,369
473,151
413,185
476,28
307,117
248,375
235,127
50,171
37,298
465,110
444,3
90,143
389,374
38,61
262,174
134,383
402,234
72,275
197,373
476,406
450,241
382,499
148,300
84,436
305,84
437,66
48,306
220,459
319,358
206,51
349,249
346,344
369,55
70,364
350,431
328,462
172,170
177,320
244,237
495,167
393,392
45,144
295,49
62,212
277,416
255,136
348,465
275,371
410,203
167,48
461,216
199,348
179,147
70,173
15,429
53,46
303,166
115,236
119,464
438,161
395,414
342,427
60,238
159,311
459,363
166,49
77,38
301,465
441,221
11,44
197,113
123,429
265,465
156,93
478,191
207,262
481,101
247,381
180,204
61,293
386,3
451,13
312,299
22,212
389,416
328,247
154,263
281,287
495,58
239,401
109,294
305,68
364,448
393,263
110,360
229,304
327,70
19,489
56,278
153,225
435,495
373,399
437,309
491,300
23,109
229,75
127,350
308,42
127,453
164,283
316,328
398,449
16,269
354,261
450,427
416,293
328,463
296,360
39,473
142,373
27,213
149,358
94,313
